datetime,ISIN,opening_price_eur,closing_price_eur,minimum_price_eur,maximum_price_eur,daily_traded_volume,StartPrice_eur,EndPrice_eur,desviacion_estandar,EndPrice_mxn
2022-12-31 08:16:00,DE0005176903,29.1,30.7,29.1,30.7,584,29.1,29.1,0.0,558.72
2022-12-31 09:32:00,DE0005178008,5.6,5.8,5.6,5.88,4031,5.6,5.6,0.0,107.52
2022-12-31 08:02:00,DE0005181606,23.6,22.6,20.8,23.6,7640,20.8,20.8,0.0,399.36
2022-12-31 08:02:00,DE0005190003,85.04,86.56,83.22,86.56,2662327,83.26,83.26,0.0,1598.592
2022-12-31 08:03:00,DE0005190037,72.3,72.9,70.5,73.0,210865,70.55,70.5,0.03535533905932537,1353.6
2022-12-31 08:05:00,DE0005194005,48.0,47.8,46.4,48.8,490,46.4,46.4,0.0,890.88
2022-12-31 08:06:00,DE0005194062,36.5,36.9,35.3,37.15,23161,35.3,35.3,0.0,677.7599999999999
2022-12-31 08:02:00,DE0005200000,88.52,90.42,88.52,90.88,644322,88.52,88.86,0.24041630560342858,1706.1119999999999
2022-12-31 08:02:00,DE0005201602,6.3,6.28,6.22,6.38,2578,6.22,6.22,0.0,119.42399999999999
2022-12-31 09:22:00,DE0005202303,4.06,4.16,4.06,4.2,1564,4.06,4.06,0.0,77.95199999999998
2022-12-31 08:02:00,DE0005203947,9.24,9.1,9.0,9.3,3826,9.0,9.0,0.0,172.79999999999998
2022-12-31 10:12:00,DE0005209589,2.59,2.52,2.52,2.59,40,2.52,2.52,0.0,48.384
2022-12-31 08:02:00,DE0005218309,4.3,4.2,4.2,4.3,4969,4.2,4.2,0.0,80.64
2022-12-31 09:14:00,DE0005220008,77.4,78.2,77.4,78.8,350,77.4,77.4,0.0,1486.0800000000002
2022-12-31 08:07:00,DE0005220909,54.4,58.6,54.4,60.5,6100,54.4,55.2,0.565685424949241,1059.84
2022-12-31 08:02:00,DE0005227201,42.5,42.5,42.4,42.8,2106,42.4,42.4,0.0,814.0799999999999
2022-12-31 08:04:00,DE0005229504,22.9,22.7,22.6,23.0,923,22.7,22.6,0.07071067811865325,433.92
2022-12-31 08:07:00,DE0005232805,47.25,48.2,45.6,48.6,12595,46.45,45.6,0.6010407640085664,875.52
2022-12-31 08:02:00,DE0005313506,62.0,68.5,61.9,69.4,51582,61.9,61.9,0.0,1188.48
2022-12-31 08:00:00,DE0005313704,133.1,140.85,131.9,141.3,192855,132.6,132.3,0.2121320343559522,2540.1600000000003
2022-12-31 08:02:00,DE0005403901,97.6,101.8,97.3,101.8,12180,97.6,97.7,0.07071067811866079,1875.84
2022-12-31 08:33:00,DE0005407100,12.5,12.9,12.5,12.9,1280,12.5,12.5,0.0,240.0
